ID,nhs_number,first_name,last_name,DOB,gender,postcode,ethnicity,risk_level
1,8354759486,Pauline,Clayton,20/12/1966,Female,E17 7JN,White British,Medium
2,9459692483,Rosemary,Rogers,21/09/1943,Male,CB2 0QQ,Black Caribbean,High
3,4716782367,Michelle,Peacock,13/10/1970,Male,CB4 2NF,White British,Medium
4,6467764744,Arthur,Ashton,13/09/2006,Female,CB1 3DF,Black African,Medium
5,4159672644,Heather,Cartwright,18/10/1964,Male,CB4 2NF,Black African,Medium
6,6346835766,Dawn,Nixon,07/10/1964,Male,SE1 6JP,Mixed,Medium
7,3364223138,Kerry,Wood,19/01/1975,Female,E1 5AW,South Asian,High
8,6424548589,Charlie,Gordon,24/01/1966,Male,CB4 2NF,White British,High
9,7425553592,Geraldine,Sheppard,15/07/1944,Male,SE1 6JP,South Asian,High
10,4473946619,Keith,Elliott,25/02/1999,Female,E1 4DG,White British,Low
11,2241934293,Russell,Conway,10/01/1975,Male,CB2 1PH,Black African,Medium
12,8332329129,Jade,Bennett,29/07/2003,Male,B15 2TH,White British,Low
13,9612513124,Hilary,Bray,24/08/1959,Female,E1 5AW,White British,High
14,4483865884,Phillip,Taylor,03/09/1967,Female,E5 0BP,White British,Medium
15,8734357436,Kevin,Welch,20/05/2013,Female,NR4 7UY,White British,Low
16,1261497148,Teresa,Fletcher,30/09/1960,Male,B15 2TH,South Asian,High
17,8917619695,Harry,Wood,01/09/1992,Male,CB2 0QQ,White British,High
18,3427233165,Bradley,Carter,20/01/1987,Male,CB2 1PH,White British,Medium
19,5836878631,Janet,Butcher,02/03/1980,Female,CB2 0QQ,White British,Medium
20,2673921715,Marc,Rose,19/06/1950,Female,CB4 2NF,South Asian,High
21,2693427257,Elizabeth,Saunders,21/07/1960,Male,N1 1AA,South Asian,Medium
22,3419247978,Allan,Franklin,05/12/1959,Male,SE1 6JP,White British,Medium
23,3495568277,Jane,Wilson,17/07/1990,Male,CB1 3DF,White British,Low
24,5699446478,Simon,Banks,03/10/1994,Male,CB2 0QQ,White British,High
25,5548915745,Jack,Coates,02/05/1998,Female,N1 1AA,Black African,Low
26,9365932948,Garry,Watts,17/05/1958,Female,NR4 7UY,South Asian,Medium
27,5549753861,Stanley,Clements,16/03/1994,Male,E18 1AB,Black African,Medium
28,7232764251,Shirley,Roberts,10/07/1989,Male,CB4 2NF,White British,Low
29,5947348528,Emily,Osborne,23/10/2020,Male,CB2 1PH,East Asian,Medium
30,2537244353,Mohamed,Barton,03/05/1968,Male,N1 1AA,White British,Medium
31,2367669415,Lynda,Porter,15/01/1999,Female,CB2 1PH,Black Caribbean,Low
32,3539549379,Damian,Turner,28/04/2003,Male,NR4 7UY,White British,Low
33,3345127971,Claire,Khan,20/04/1964,Male,NR4 7UY,White British,Medium
34,3568658891,Laura,Hughes,14/05/1940,Male,B15 2TH,White British,High
35,5378698632,Teresa,Dale,23/03/1996,Male,N1 1AA,White British,Low
36,9543886132,Charlotte,Johnson,13/02/1998,Male,N4 2JJ,Black Caribbean,High
37,1522884994,Albert,Singh,30/07/1992,Female,E13 8SL,White British,Low
38,6958514984,Natalie,Taylor,05/09/2000,Male,B15 2TH,White British,Low
39,6561399566,Lydia,Booth,08/11/1978,Female,E17 7JN,White British,Medium
40,1616643589,Wayne,Fry,18/05/1983,Male,E18 1AB,White British,High
41,3285717433,Russell,Jackson,29/04/1969,Female,CB1 3DF,White British,Medium
42,1867426861,Gary,Gibson,08/02/1991,Female,NR4 7UY,Black African,Low
43,9784329787,Kyle,Burgess,20/06/1996,Female,N1 1AA,White British,Low
44,8418925269,Derek,Williams,19/07/1988,Female,NR4 7UY,White British,Low
45,6268857795,Damian,Dodd,20/05/1987,Female,B15 2TH,Black African,Low
46,2149733411,Jonathan,Chapman,22/07/2001,Female,CB2 1PH,White British,Low
47,1263449523,Glen,Smith,01/09/2022,Male,E5 0BP,White British,Medium
48,5629693265,Bethany,Foster,17/01/1985,Female,CB4 2NF,Black African,Medium
49,9978413659,Hayley,Barry,27/06/1985,Female,CB4 2NF,East Asian,Medium
50,8468134622,Amanda,Adams,30/12/1964,Male,CB2 1PH,White British,Medium
51,2241238444,Elizabeth,Thorpe,30/06/1964,Female,E17 7JN,White British,Medium
52,7279795346,Steven,Atkins,22/12/1990,Female,E5 0BP,Black African,Medium
53,4381357477,Ricky,Kirk,19/07/1978,Female,CB4 2NF,White British,Medium
54,7782595362,Irene,Elliott,12/06/2009,Male,NR4 7UY,Black African,Low
55,6268243938,Kerry,Spencer,31/03/2005,Female,E18 1AB,East Asian,Medium
56,7878866943,Charlie,Ball,01/10/1933,Female,E13 8SL,South Asian,High
57,4719896153,Charlotte,Noble,01/03/1940,Female,N1 1AA,White British,High
58,5447869289,Francis,Newton,16/11/1935,Male,NR4 7UY,Black Caribbean,High
59,5614845879,Rita,Ball,11/01/1934,Male,E18 1AB,South Asian,High
60,2389755962,Jordan,Jackson,03/03/2004,Female,CB2 0QQ,White British,Low
61,4299184332,Josephine,Dunn,29/10/2001,Male,E18 1AB,White British,Low
62,7396566838,Ashleigh,Ford,16/03/2002,Female,CB4 2NF,East Asian,Low
63,7829117534,Bernard,Hartley,18/08/1988,Male,E5 0BP,White British,Low
64,1234232261,Malcolm,Harding,08/05/1991,Male,N4 2JJ,White British,Medium
